epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.535,3.11592,2.91328,2.15984,0.58856,0.4802,0.5193,0.33373,2.4845,2.20662,1.99345,0.0671031,0.000332292,0.000332292
2,341.381,2.7459,1.98701,2.05714,0.68223,0.58331,0.64001,0.38331,2.36623,1.80955,1.99079,0.0340702,0.000632677,0.000632677
3,508.442,2.65175,1.75978,2.02833,0.73604,0.57978,0.65699,0.40678,2.46047,1.79949,2.01132,0.00100423,0.000900061,0.000900061
4,676.372,2.55418,1.62515,1.98763,0.77994,0.61464,0.71106,0.47363,2.18012,1.57752,1.89533,0.0008515,0.0008515,0.0008515
5,842.876,2.46286,1.50909,1.96284,0.76238,0.5707,0.64969,0.41312,2.84493,2.09022,2.15477,0.000802,0.000802,0.000802
6,1009.13,2.41271,1.4384,1.94535,0.83731,0.66998,0.76261,0.51263,2.13289,1.37987,1.86875,0.0007525,0.0007525,0.0007525
7,1176.6,2.36431,1.38783,1.92752,0.80087,0.59306,0.68464,0.43701,2.67798,1.75253,2.0401,0.000703,0.000703,0.000703
8,1343.55,2.31285,1.34087,1.91088,0.85509,0.71183,0.79309,0.55028,2.01945,1.22782,1.84163,0.0006535,0.0006535,0.0006535
9,1510.17,2.28528,1.29888,1.90361,0.85233,0.71198,0.79302,0.54674,2.02546,1.25529,1.84437,0.000604,0.000604,0.000604
10,1676.77,2.26202,1.27048,1.8915,0.86155,0.71804,0.78744,0.54624,1.98478,1.24902,1.82948,0.0005545,0.0005545,0.0005545
11,1844.62,2.21974,1.21635,1.89803,0.85782,0.64304,0.74365,0.51455,2.28597,1.49197,1.92617,0.000505,0.000505,0.000505
12,2008.94,2.18276,1.17403,1.88533,0.86456,0.73065,0.80718,0.56722,1.95008,1.17781,1.81545,0.0004555,0.0004555,0.0004555
13,2173.77,2.15767,1.14758,1.87895,0.86496,0.72502,0.80996,0.57371,1.95759,1.17552,1.81891,0.000406,0.000406,0.000406
14,2338.27,2.1261,1.12252,1.86849,0.867,0.73093,0.80801,0.57403,1.93236,1.13539,1.81615,0.0003565,0.0003565,0.0003565
15,2502.62,2.09531,1.10039,1.85909,0.8755,0.72702,0.81769,0.5842,1.89931,1.11265,1.80603,0.000307,0.000307,0.000307
16,2667.12,2.07031,1.06903,1.85439,0.86362,0.74089,0.81476,0.58104,1.89748,1.11347,1.8041,0.0002575,0.0002575,0.0002575
17,2832.05,2.04806,1.05178,1.84556,0.86706,0.73799,0.8127,0.58428,1.8828,1.10637,1.79538,0.000208,0.000208,0.000208
18,2996.74,2.02434,1.03294,1.83639,0.87478,0.73635,0.81059,0.57901,1.89524,1.10512,1.79939,0.0001585,0.0001585,0.0001585
19,3160.82,1.99699,1.00939,1.83084,0.86768,0.74337,0.81627,0.588,1.87811,1.10105,1.7938,0.000109,0.000109,0.000109
20,3325.23,1.97461,0.99169,1.82337,0.86284,0.74539,0.81642,0.58892,1.86686,1.08979,1.79231,5.95e-05,5.95e-05,5.95e-05
