epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.275,2.04802,2.07703,1.83374,0.67643,0.70526,0.74393,0.5393,1.63513,1.32469,1.74039,0.0671031,0.000332292,0.000332292
2,342.647,1.88856,1.28145,1.80855,0.77541,0.73626,0.79297,0.56923,1.63676,1.19323,1.76555,0.0340702,0.000632677,0.000632677
3,510.603,1.87023,1.13023,1.81844,0.81304,0.77957,0.82121,0.59987,1.59621,1.10295,1.74821,0.00100423,0.000900061,0.000900061
4,677.611,1.8237,1.03604,1.81024,0.84527,0.81321,0.85064,0.6342,1.5132,0.9485,1.73232,0.0008515,0.0008515,0.0008515
5,845.449,1.76503,0.96688,1.79473,0.86191,0.82369,0.88018,0.66325,1.49053,0.91645,1.71877,0.000802,0.000802,0.000802
6,1014.87,1.73059,0.93031,1.78184,0.85721,0.8397,0.88208,0.66407,1.52671,0.91693,1.71239,0.0007525,0.0007525,0.0007525
7,1183.42,1.69248,0.89221,1.76552,0.88127,0.79914,0.86672,0.66575,1.44888,0.8669,1.69393,0.000703,0.000703,0.000703
8,1351.87,1.65795,0.86011,1.75279,0.86919,0.82564,0.87638,0.67457,1.42137,0.85075,1.69303,0.0006535,0.0006535,0.0006535
9,1519.48,1.64075,0.83566,1.75003,0.88698,0.80873,0.88776,0.6902,1.41444,0.83735,1.68925,0.000604,0.000604,0.000604
10,1687.18,1.62448,0.82437,1.74338,0.85453,0.83841,0.88685,0.68628,1.37043,0.81316,1.67414,0.0005545,0.0005545,0.0005545
11,1855.71,1.60332,0.78372,1.74837,0.8716,0.83814,0.8904,0.69412,1.38621,0.81828,1.67881,0.000505,0.000505,0.000505
12,2021.04,1.58222,0.76195,1.73814,0.86634,0.83661,0.88676,0.69217,1.37755,0.8055,1.68122,0.0004555,0.0004555,0.0004555
13,2186.56,1.56138,0.7375,1.73295,0.87028,0.84259,0.89265,0.69742,1.36162,0.79665,1.67372,0.000406,0.000406,0.000406
14,2352.4,1.53788,0.72388,1.72859,0.8785,0.82355,0.8851,0.69466,1.35436,0.77775,1.67289,0.0003565,0.0003565,0.0003565
15,2517.54,1.51783,0.70311,1.72255,0.87359,0.83816,0.89187,0.70707,1.3157,0.76117,1.66396,0.000307,0.000307,0.000307
16,2683.23,1.49211,0.68474,1.7177,0.87424,0.83918,0.88926,0.70852,1.31649,0.77422,1.66095,0.0002575,0.0002575,0.0002575
17,2847.98,1.47673,0.67423,1.71064,0.88036,0.83606,0.88176,0.70127,1.306,0.76318,1.65881,0.000208,0.000208,0.000208
18,3013.42,1.45317,0.65688,1.70547,0.88091,0.8407,0.89623,0.71574,1.29773,0.75683,1.65823,0.0001585,0.0001585,0.0001585
19,3178.81,1.43797,0.64359,1.69991,0.88123,0.8353,0.89431,0.71852,1.27864,0.75309,1.65313,0.000109,0.000109,0.000109
20,3344.68,1.42057,0.62981,1.69664,0.88484,0.83411,0.89362,0.71771,1.27952,0.74773,1.65206,5.95e-05,5.95e-05,5.95e-05
