epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.742,0.90218,0.88137,0.902,0.87582,0.77377,0.85214,0.60853,0.74174,0.68755,0.85068,0.0671031,0.000332292,0.000332292
2,297.341,0.81531,0.57032,0.88171,0.87672,0.81356,0.86555,0.63598,0.72501,0.56311,0.8483,0.0340702,0.000632677,0.000632677
3,442.47,0.80495,0.53483,0.88059,0.87365,0.79897,0.83272,0.62311,0.70688,0.57826,0.84632,0.00100423,0.000900061,0.000900061
4,586.962,0.78702,0.50448,0.87545,0.88304,0.81047,0.87454,0.66499,0.70982,0.48782,0.84602,0.0008515,0.0008515,0.0008515
5,730.175,0.76258,0.47731,0.8704,0.90053,0.82394,0.89188,0.68341,0.67368,0.4707,0.83689,0.000802,0.000802,0.000802
6,873.001,0.74944,0.45987,0.86645,0.89456,0.82446,0.89018,0.67525,0.70407,0.45827,0.84418,0.0007525,0.0007525,0.0007525
7,1016.2,0.73655,0.44356,0.86296,0.897,0.82879,0.88875,0.70091,0.64671,0.44026,0.83046,0.000703,0.000703,0.000703
8,1159.83,0.72354,0.43114,0.85878,0.91259,0.82628,0.89335,0.6938,0.65352,0.44593,0.83453,0.0006535,0.0006535,0.0006535
9,1303.17,0.7139,0.42062,0.85783,0.934,0.80247,0.89142,0.70426,0.63596,0.43453,0.83205,0.000604,0.000604,0.000604
10,1446.22,0.70822,0.41282,0.85626,0.91937,0.82845,0.89627,0.70818,0.62784,0.4322,0.82943,0.0005545,0.0005545,0.0005545
11,1591.48,0.71063,0.40597,0.85497,0.91588,0.8203,0.88517,0.70034,0.63329,0.43421,0.82887,0.000505,0.000505,0.000505
12,1733.62,0.70123,0.39377,0.85275,0.89815,0.82822,0.90431,0.71646,0.63909,0.41949,0.83215,0.0004555,0.0004555,0.0004555
13,1875.85,0.6926,0.38523,0.85064,0.92126,0.82071,0.89582,0.70995,0.63991,0.42773,0.83095,0.000406,0.000406,0.000406
14,2017.94,0.68415,0.37524,0.84849,0.92743,0.82017,0.89322,0.70843,0.62874,0.41794,0.82985,0.0003565,0.0003565,0.0003565
15,2159.95,0.6754,0.36737,0.84663,0.92007,0.83164,0.91072,0.72612,0.63042,0.40563,0.82963,0.000307,0.000307,0.000307
16,2302.24,0.66531,0.3578,0.84454,0.9245,0.8287,0.89766,0.71779,0.61955,0.40587,0.82832,0.0002575,0.0002575,0.0002575
17,2444.1,0.65957,0.35017,0.8435,0.91839,0.82411,0.89992,0.71878,0.61769,0.40647,0.82848,0.000208,0.000208,0.000208
18,2586.03,0.64907,0.3414,0.84067,0.91852,0.82098,0.8972,0.72232,0.60615,0.39867,0.82441,0.0001585,0.0001585,0.0001585
19,2727.48,0.64327,0.33599,0.83943,0.90577,0.83095,0.9043,0.72913,0.60604,0.39421,0.82466,0.000109,0.000109,0.000109
20,2869.11,0.63616,0.32765,0.83721,0.92711,0.82,0.8997,0.72792,0.60196,0.39403,0.82371,5.95e-05,5.95e-05,5.95e-05
