epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.132,1.42428,1.22564,1.06459,0.71561,0.39541,0.53017,0.33754,1.1642,1.10528,0.96271,0.0671031,0.000332292,0.000332292
2,292.688,1.22649,0.84941,0.99476,0.81282,0.56163,0.65925,0.42768,1.13735,0.84178,0.96245,0.0340702,0.000632677,0.000632677
3,436.912,1.16777,0.76565,0.97903,0.79319,0.55547,0.65301,0.42834,1.12634,0.84058,0.95894,0.00100423,0.000900061,0.000900061
4,580.832,1.1225,0.71456,0.96617,0.84175,0.67677,0.76949,0.5212,0.97692,0.64614,0.91229,0.0008515,0.0008515,0.0008515
5,723.976,1.08736,0.6722,0.9559,0.8441,0.60232,0.69147,0.45688,1.13895,0.77306,0.95562,0.000802,0.000802,0.000802
6,867.314,1.06063,0.64586,0.94725,0.8215,0.6311,0.71863,0.46851,1.15455,0.73464,0.96449,0.0007525,0.0007525,0.0007525
7,1010.44,1.04151,0.62439,0.94034,0.82044,0.64199,0.73733,0.47239,1.17537,0.71183,0.95836,0.000703,0.000703,0.000703
8,1153.53,1.0186,0.60427,0.9328,0.8592,0.73036,0.80062,0.54815,0.94943,0.59625,0.90494,0.0006535,0.0006535,0.0006535
9,1296.53,1.00583,0.58826,0.93007,0.86795,0.73119,0.80573,0.56929,0.88871,0.5648,0.8909,0.000604,0.000604,0.000604
10,1440.06,0.99603,0.57731,0.92586,0.83448,0.68236,0.77191,0.5217,1.00084,0.65755,0.91119,0.0005545,0.0005545,0.0005545
11,1585.12,0.99065,0.56435,0.92563,0.88173,0.73521,0.8134,0.57598,0.8981,0.55988,0.89206,0.000505,0.000505,0.000505
12,1727.94,0.97416,0.54353,0.91978,0.8853,0.74411,0.81324,0.57525,0.8809,0.56398,0.88642,0.0004555,0.0004555,0.0004555
13,1869.95,0.96359,0.53216,0.91602,0.89537,0.73294,0.81643,0.58266,0.88797,0.54173,0.88898,0.000406,0.000406,0.000406
14,2011.84,0.94761,0.51961,0.91209,0.88181,0.73773,0.8232,0.59265,0.86414,0.52354,0.88092,0.0003565,0.0003565,0.0003565
15,2153.78,0.93709,0.50925,0.90867,0.88131,0.73694,0.82201,0.59737,0.84984,0.52079,0.87849,0.000307,0.000307,0.000307
16,2295.47,0.92633,0.49672,0.90562,0.88942,0.73718,0.8202,0.59047,0.86413,0.52487,0.88006,0.0002575,0.0002575,0.0002575
17,2437.04,0.91657,0.48741,0.90338,0.87751,0.74442,0.82366,0.5953,0.84952,0.5166,0.87592,0.000208,0.000208,0.000208
18,2578.56,0.90558,0.47909,0.8992,0.88709,0.74833,0.82529,0.59695,0.85296,0.51374,0.87733,0.0001585,0.0001585,0.0001585
19,2719.91,0.89347,0.46967,0.89679,0.88277,0.74861,0.82572,0.60098,0.84329,0.50907,0.87491,0.000109,0.000109,0.000109
20,2862.09,0.88458,0.45946,0.89295,0.88852,0.74923,0.82852,0.6037,0.84305,0.5063,0.87444,5.95e-05,5.95e-05,5.95e-05
